tweets,Sentiment
"every thurs at 8pm (uk time) i am applauding those who care for us &; our world, including nhs staff, social care staff, emergency services, supermarket staff, teachers, &; all key workers #clapforthenhs #clapforcarers #clapforkeyworkers #clapforteachers #covid19 #stayhomesavelives",Extremely Positive
"i cant be the only person (consumer, they only know us as consumers) whos noticing which corporations are endangering, underpaying, and otherwise harming their work forcein a crisis

and taking notes for after:",Extremely Negative
a supply crunch and steeprise in prices of essentials in this manipur village that mainly houses the meitei community are hitting the inhabitants hard many of whom have lost their livelihoods,Negative
"when will the stores get more hand sanitizer, wipes, lysol spray, toilet paper, and other products? why dont @cnn @cnnbrk @msnbc report on that more often? its kind of important. #coronavirus",Extremely Positive
minnesota has now classified grocery store workers as emergency personnel,Negative
now grocery store workers are beginning to contract in large numbers with the first deaths being reported this is just the latest failing of trump s task force where they ve told us for weeks no need for face masks trump still claims it s up to the individual,Extremely Negative
"(4)
for that, cover your head with disposable caps, wear masks and keep a bottle of sanitizer with you at all times. 
stay home, stay safe. ghar bihiv te nyabar mah neeriv!

#mumkinhaiyeh #jammu #kashmir #awareness #stayhome #staysafe #covid19 #coronavirus",Positive
"i am not sure i should say this, but it would appear that #toiletpaper supplies may be returning to normal. after a fortnight of empty shelves, i have seen some #looroll in supermarkets! 
#toiletpaperpanic #panicbuying #coronavirus",Negative
"grocery stores should be spacing checkout lines, every other line should be closed at min, #covid19 rule 1. many store have checkers back2back, forcing customers w/in 6 radius of 2 #frontlineworkers - this bad @martinsgrocery @kroger @heb @walmart #socialdistancing #bendthecurve",Extremely Negative
accepting applications for my apocalypse team! #apocalypse #apocalypseteam #tp #toiletpaper #toiletpapershortage #virus #coronavirus,Positive
"day 75:  world consumer rights day, which really means right now that you have the right to stay home and not go places. #coronavirus continues to spread, and major athletic events have been canceled, much like ellen canceled my future by leaving me here.",Positive
"in light of this pandemic, we aim to serve you as best as we can.

#shopping #onlineshopping #supermarket #covid19 #coronavirus #helpingeachother",Extremely Positive
instead of giving financial aid that is close to nothing. why don't you remove the taxes and cut down the prices of the utility goods? #covid2019 #lockdown @imrankhanpti,Positive
"@alexanderwidrow @mcphie00 stay in the city!  help will come.?

under such circumstances, don't go rambling out in the countryside in places you're not known or not supposed to be ... there, covid-19 is the least of your worries!

stock up on drie",Neutral
@premierleague  30% pay cut . 20 million to the @nhsuk .  125 million to @efl and national league .   #abouttime . takes about 2 seconds to put gate prices up tho ! #covid2019 #coronavirus @marksaggers @gnev2 @garylineker @stancollymore @talksportdrive .,Negative
don t panic our guide on where to buy toilet paper during the covid 19 outbreak and best deals online now,Positive
disgusting! covid-19 lockdown: watch video of residents cry out for help as prices of food skyrocket   via @youtube,Extremely Negative
"there is a queue to get inside my local supermarket in south london at 8 am. what to do, i joined the queue. #coronavirus #covid19 #coronavirusuk",Neutral
supermarket reports shoppers being abusive #coronavirus,Extremely Negative
"in addition to #covid-19 s rippling personal and societal impacts, it is also altering business and consumer activity. join us for our quarterly accounting webcast. register for a session that works for you:",Positive
"45,000 new supermarket #jobs have been created to tackle #coronavirus demand. here's a rundown??  #skintdodgers #wednesdaywisdom #employment #economy #uk",Positive
@pulte i've been having to use my credit card to buy bits of groceries every day just to be able to stock up on some kind of food aside from having to seek medical treatment for problems that aren't even related to covid-19. i could really use the help an,Positive
floating storage spikes prices spiral force majeures and a lot of uncertainty chaos today in the lng market,Extremely Negative
@kccinews again..you can use old rags for tp. trash cans. what do you think your grandparents did? ???? this is ridiculous! toilet paper being first thing to panic for is just ridiculous. what about food? #covid_19,Extremely Negative
"jesus h christ! i just touched my face.

i went out to my local grocery store to find me some #chicken, but ended up with a #stockpile of #toiletpaper and #kleenex.

who needs food at this time of crisis?

@len_canada #covid19 #coronavirus #soldout #canned #corn #tofu #facetouch",Extremely Negative
"how #markets may change after #covid_19:

-no more second-hand clothes shopping
-more online shopping
-more online grocery shopping (good for #instacart)
-even higher popularity of #amazon
-less #luxury buying",Extremely Positive
"people saying they cant wait to go back to normal.....if normal is a bullshitting lying government,people living rough,low paid workers,nhs on its knees and hungry families queuing in food banks then we all need to demand change ...come back a better nation #coronavirus",Negative
"now, more than half of states have closed dining areas",Neutral
101 things to do with toilet paper #covid19 #coronavirus #flattenthecurve #toiletpaper,Neutral
"@xvbrenda also i think they just approved 25,000 for people that are working. its considered hazard pay if i read it correctly. so if u are workin at a grocery store or mailman anything pretty much that puts ur heath at risk cause of the covid-19. yal",Positive
"omg i found some i finally found some

*looks around nervously*

ps i live in alaska

#covid2019 #coronavirus #covid?19 #covid19 #coronaviruspandemic #toiletpaper #toiletpapercrisis #toiletpaperapocalypse #toiletpapergate #chinavirus
#wuhanvirus",Negative
"gold is undervalued; prices to hit $5,000 in medium-term, says economist  #kitconews #gold #silver #metals #economics #mining #investing #finance",Neutral
going to the grocery store feels alot like looking in the fridge during college. lots of condiments and vegetables but not alot of real food going on in that kitchen #coronaviruschallenge #coronavirus,Positive
617 420 13 luciebee cat ginger covid 19 will be blamed for every thing that goes awry through 2021 i m guessing either directly or indirectly from the fall out election stock market unemployment rate food and sundry supplies significant rise in domestic violence and crime in general,Extremely Negative
"sterilize your masks, phones, glasses regularly with the uv sterilizer box in this coronavirus period, 

#covid19 #coronavirus #ultravioletsterilizer",Neutral
"i'm gonna channel my inner #karen for a moment: dude, it's the absolute simplest #socialdistancing thing you can do at the grocery store. it's so simple, takes no extra effort. just follow the stupid arrows on the floor and stop coming at me (bro) in my aisle!",Extremely Negative
"ran my essential tasks: pharmacy-postal office-grocery store-home! we can do this yall!!! #covid_19 #socialdistancing #neworleans #louisiana 
#gayrunner #thisiswhattranslookslike #run #trans #mastersathlete #transathlete #lgbt #lgbtq #geodoinggeothings  #runnerslife #runloverock",Neutral
"when all this blows over i'm thinking a supermarket workers vs idiot shoppers would make a great paintball game...

#covid19uk
#panicshopping #covid2019",Positive
the amazing and have managed to get production of hand sanitizer up and running but they need help please click below for details,Extremely Positive
so things will not change with high prices alone people arguing that price gouging will not solve the problem are right because the  state makes it illegal to make the stuff in the first place a post,Extremely Negative
news ag alert following regulator fines 1 2b read more   19,Positive
khushabu we can control covid 19 effects by adoting ayurved social distancing cleanliness and eating vegetarian food avoid panic stay at home and stay safe we request to pm,Negative
"""at the ports, terminals were shuttered, as fewer ships, loaded with consumer goods and parts for american factories, set sail from china. and exports, poultry and oranges, were piling up on the docks.""",Neutral
prices may see a pickup in volatility ahead of the 2020 halving as the pandemic threatens to disrupt cross continental btc mining operations get your market update from here,Negative
"folks at the grocery store who've never cleaned anything more than a plate are emerging from the grocery store with more cleaning supplies and paper towels than my ocd, stress cleaning ass uses in a year! #

#coronapocolypse #coronavirus #tpshortage2020 #everyonesgonemad",Extremely Negative
"we have personal reusable protective face masks - if you or anyone you know need, fair prices, colors available, go here:  #protective #face #mask #protective #reusable #facemask #covid_19 #covid?19 #covid #personal #facemasks #thankfulthursday #turtle ?",Positive
this is not #panicbuying they know what they are doing. now that they have stocked up they will declare a shortage of food and other essentials in stores and therefore hike prices. #covid2019 #covid19southafrica #coronavirussouthafrica #coronaviruschallenge,Negative
"'after rump said thursday that hydroxychloroquine was 'approved' to treat coronavirus in the us.'



#trumpliedpeopledied
#derangeddonald #unfitforoffice
#gopcoverup #theyknew! #goodbyegop
#trump2020 #deplorable #qanon #fakenews #maga #winning!!! /sarc",Extremely Positive
"if you cant find any chicken or ground beef in your local grocery store(s) during this #coronavirus outbreak, dont worry! just go to @arbys 

they have the meats",Negative
japan cancels tokyo 2020 olympics,Negative
"cbd can cure... nothing, officially.  national consumers league in dc talks to jx about taking cbd claims with a big grain of salt.",Neutral
@httweets #coronavirus factor for lowering oil prices is myth. this all started with saudi arabia's maximum oil extraction started in april and a tussle of russia and saudi. the usa oil companies will go bankrupt soon.,Extremely Negative
"nurse cries because hoarders have cleared uk supermarket shelves of food



@coronavirusupdt  #coronavirus #coronavirusuk #covid19",Negative
@jamesgilbertwx @news_8 rapid drop in demand? im guessing people are still consuming food whether at home  or a restaurant. i know im halfway to adding my covid 19....,Negative
indiana attorney general curtis hill is asking hoosiers to report excessive prices for consumer goods during the covid-19 pandemic and to file a complaint online.,Negative
"@tesco while i applaud your approach to social distancing i feel that to only allow one person in a large supermarket at a time is somewhat ridiculous especially when it has two entrances, it would be simple to apply the 2m rule with multiple persons in s",Positive
stay 6 feet apart at the grocery store. #covid_19 #essential #nyc #newyorkcity @ stop &; shop,Negative
"global impact of covid-19 consumer behaviour, plus why b2b marketers are reinvesting in digital  via @smartinsights

#coronavirus #ecommerce #retail #iot #ai #seo #sem #smm  #blockchain #amazon #dropshipping #websitedesign",Neutral
"im fucking calling it now, covid-19 isnt gonna kill us, since we're all gonna kill eachother due to a fucking food shortage. the panic is gonna go from a mere virus to a fucking all out apocalypse due to how shit is going right now, you're all gonna cause a damn downfall",Negative
"my grandmother sent me this and noted ""problem solved""

#toiletpaperapocalypse #toiletpaper #covid?19 #quaratinelife #coronavirus #stayathome #covid19 #lockdown",Negative
perception panic vs reported reality of #grocerystores #coronavirus via ?@nytimes?,Negative
adjusting to our new normal has us heavily reliant on #ecommerce and essential retailers to get us through #covid19. how has this increase in consumer demand affected hiring for the #retail industry? join us as we dive into the data:,Positive
"@nationaltrust which has over 200 outdoor locations throughout uk, has pledged to keep as many as possible open to the public over the coming weeks &; will not charge its usual ticket prices. ? read more:  #zoek #coronavirus #cov",Neutral
@borisjohnson spectacularly embarrassing you fat churchill tribute act. so out of your depth. step aside and let someone more capable in. #londonlockdown #lockdownuk #coronavirus #covid19,Positive
nordstrom's executive leadership group will forgo a part of their salary from april through september.  #retail #coronavirus #nordstrom,Neutral
best part of covid 19 people are wearing gloves while using their phones at the grocery store,Extremely Positive
"live: government urges people not to panic-buy amid coronavirus crisis said ""there's enough food for everyone"" 
#stayathome #stayathomestaysafe
#saturdaymorning #covid19 #coronacrisis",Negative
"giant grocery store employee in largo dies after being diagnosed with coronavirus
leilani jordan was a store associate at the campus way south store and had not worked at the store since march 16...

#coronavirus #covid19",Neutral
german chancellor angela merkel thanked supermarket staff they truly are front line workers as people wake up to the severity of   icymi   ps merkel has a doctorate in chemistry,Extremely Positive
the produce section at my local supermarket on college st this morning. #covid-19. #toronto,Neutral
we matched another 500 donation from our local stores to help fight food security and provide a vital support to families that have taken an economic hit from the covid 19 crisis 1 000 to the goshen to stock their pantry,Positive
"how embarrassing is the idea of mens (no, dudes) toilet paper? check out the shelves at this grocery store after a #covid_19 run on tp",Negative
"i used to bitch about whole paycheck.the arrival of @wholefoods on h street ne, coupled with the merger with amazon which lowered prices considerably, changed my mind.",Negative
@topeleven kindly review your token prices taking into account #covid_19. people are trying to stock up on necessities. there is no money going around. what are you doing to stand by your loyal players now?,Extremely Positive
"someone thats savy in economics answer this, when retail stores open back up (mall) do they have huge sales or will the prices be full retail to make up for missed business?",Neutral
"did they help? brilliant site ranks companies on impact of  policies &; actions on society &; employees during #coronavirus pandemic. if you're in a position to do any online shopping, start here! #csr ?:",Extremely Positive
impacts on sector prices mu webinar,Neutral
"one of the most touristic countries in world, first for many years, is one of most infected by covid-19. it belongs to eu but it has abandoned to its fate. hopefully germans, dutch, etc stay home in future and don't come beaches to get drunk @eu_consumer @eucouncil @eu_commission",Extremely Negative
"dear supermarkets

on behalf of the higher iq. please create a dedicated aisle or two with the essentials. block it and police it and stock gradually during day.

@sainsburys
@tesco
@asda
@marksandspencer
@morrisons
@lidlgb
@aldiuk 

#coronacrisisuk
#coronavirus
#stophoarding",Extremely Positive
"""my wife is at high-risk of the #coronavirus  can i pretend to be ill to get out of work?""

should our reader do everything he can to protect his family? let us know below and in the comments of the latest #moralmoney",Negative
"2,000 uk pubs to reopen as click-and-collect supermarkets during #coronavirus lockdown",Neutral
everyone don t forget condoms when you are hoarding toilet paper kitchen towels and hand sanitizers when staying home everyone will needs lots of it,Positive
@mumbaipolice @officeofut @mybmc @authackeray please come to tilak nagar at r s mani supermarket. more then 100 people you will find at any given time. i do understand people are panic but this way we wont be able to solve problem. #stayhomeindia #covid,Positive
@sensanders hallmark is sending retail merchandisers from store to store all over the us not caring about the spread of covid-19. @hallmark please tweet about them to help stop the spread.,Neutral
"pm me! not to be a beggar but i really need the $$ in this pandemic! i have an autoimmune disease and cant leave the house, im running out of food and my family cant afford to buy more :( ! my prices will probably be raised until this covid-19 thing clears up",Positive
"#covid19 #lockdown this morning i am not a happy man; am not seeing solutions coming soon
1.covid 19: hiking food prices across africa; what are our leaders doing?
2.'i'm proud of being black, i dont give a damn'  who boss hits back at critics; where is au?",Extremely Negative
uae shoppers notice fruit and veg price hike,Neutral
"as #china and the global economy come under strain because of #coronavirus, putting pressure on commodity prices, strategies to invest in them will have to measured:  | by ravindra rao @kotaksecurities #investmentspecial #covid19 #coronavirusoutbreak",Negative
"growing up my favorite show to watch with @sofia710 was supermarket sweep! i always dreamed to be on that show. today i can say i pretty much experienced that dream thanks to covid-19! #covid19 
 ??",Extremely Positive
"prices and covid-19 pandemic cannot be tantamount to force majeure which the mining firm has used as a scapegoat.chishimba notes that laying off over 11, 000 workers is outrageous.

#kopalasmostloved",Extremely Negative
"what's going to happen when grocery store employees stop coming to work?

it feels like a war zone: as more of them die, grocery workers increasingly fear showing up at work  #covid19 #coronavirus #essentialworkers",Extremely Negative
we propose temporary financial relief for customers impacted by #coronavirus  #coronavirusuk #covid19 #fcaupdate,Positive
"i've just posted a new blog: after recovery, odisha's first covid-19 patient urges people not to panic

he has been advised to remain under home quarantine for another 14 days and avoid any cold food. he has also been asked to call doctors if there any health complications d",Positive
prevent the spread of covid-19 while doing laundry - consumer reports,Neutral
fairy god mother and her business would have found a cure for covid 19 by now she d be selling it for astronomical prices because she s definitely a greedy capitalist but she would have it,Positive
"the company said sunday it will initially produce 50,000 bottles of hand sanitizer, at five locations across the country, that will be donated to food banks canada #canadacovid19 #coronawarriors #coronavirus",Positive
"#credit #btc #oio #dta #storm #rcd the federal reserve's latest consumer credit report shows americans were borrowing at record levels just as the covid-19 crisis struck.
...read more:",Negative
"the @fao has reported that world food prices dropped in march, connected to econ contractions related to #covid19

wheat &; maize expectations remain unchanged, as some countries offset others, such as w/ south africa's recovery from drought

read more:
?",Neutral
"i said thank you to grocery store clerks before it was cool ?????
#covid_19",Positive
"post covid-19 us consumer concept...completely automated grocery stores for dry and packaged goods.                                    re-emergence of butcher/deli/dairy shops, fresh produce shops and bakerys. concept couples ai and desire 2 buy local. get ready @appharvest",Extremely Positive
huge announcement ? dollar dig is donating 100% of net profits to the cdc foundations' covid-19 response + poac autism services! shopping online never felt so good ? shop through  first...cashback is ?% yours to keep! please retweet,Extremely Positive
covid 19 there s  no need to hoard   grocery store ceo says,Negative
current mood of every supermarket colleague: #coronavirus,Neutral
we are ready to shelter in place are you,Positive
"presumably these have had to make way to provide space to store the #handsanitizer, #toiletpaper and  #readymeals they've bought. i'm not sure they've really thought this through. #hithergreen #lewisham #coronavirus #lockdown #pandemic #panicbuying #panicbuyinguk",Negative
"antibacterial soap? you can skip it, use plain soap and water | fda
#coronavirus",Neutral
stay safe during this #coronacrisis and make sure you have the #medicines you need like for example #hydroxychloroquine - we offer cheap prices for #chloroquine at  with free shipping.,Extremely Positive
"hmm. gas prices are low, which is great when i use a car.  but with lockdown i dont need a car. did oil price war players work this one out?  #coronavirus",Extremely Negative
sandbox startup @circleup explored how the current pandemic could affect the consumer packaged goods industry.,Neutral
venezuela closing pumps less demand amid 19 a few dozen will be militarized and operating for first responders food and utilities to fill up,Negative
"this #dutchies are fuckedup, they almost screw you in the supermarket. education??!! #covid19nederland #coronacrisis #coronavirusnederland #codvid19espana #codvid19italia",Neutral
with #covid_19 sparking panic buying many smaller local shops are now demanding cash only sales. asylum seekers who rely on these shops using @ukhomeoffice #aspencard have no cash= no food/essentials for them and kids. #hostileenvironment @symaag @refugeeaction @voicesnetworkuk,Extremely Negative
"@mullacodewsbury sorry that your staff are being abused and that is wrong.

can i just clarify, have you bumped up prices significantly on popular lines since the beginning of the #coronavirus crisis?",Extremely Negative
"went to supermarket to get some basic stuff like milk rice but guess what i came back empty handed. it seems people are stocking up things forever. 
#covid_19",Negative
we argued yesterday that the covid-19 crisis is not a financial crisis but rather a consumer and small business crisis that require very unusual policy prescriptions.,Extremely Negative
"when going for a grocery run means literally running in to grab essentials and getting the f*** out.
#socialdistancing #coronavirus #covid19 #toiletpaper #sixfeetapart
#washyourhands #washyourgrocerycart",Neutral
"as well as clapping for carers we should also clap for.....

- police
- supermarket staff
- firefighters
- anyone thats isolated properly like a grown up

#clapforcarers #coronavirus #clapforkeyworkers #covid?19 #coronavirus #covid19 #thankfulthursday",Positive
important information you should know about covid 19 visit,Positive
how to help second harvest food bank seeks monetary donations preparing for increased demand,Positive
"im speechless by this act! this brooklyn bodega is offering 10-20% off of all food products! so much respect to you for doing this. others take notice, dont burn your bridges with customers trying to make a quick buck by price gouging. it will bite you in the ass! #nyclockdown",Neutral
if you can stay at home do it for the millions of people who can t from healthcare workers to long haul truckers supermarket workers restaurants doing take out etc,Neutral
"i wanted to take a minute to send a special thank you to everybody on the front lines battling the covid-19 pandemic. thanks to hospital employees, healthcare workers, grocery store employees, emergency services, child care centers for eps and everybody who is doing their part!",Extremely Positive
"adel and karina xxx

 



#covid #coronavirus #covid19 #isliationhelp #isolation #selfisolation #lockdown #quarantine #song #newsong #coronavirusuk #covidsong #frontline #nhs #hospital #police #supermarket #volunteer",Neutral
overproduction of clorox wipes + consumer high demand = currently unavailable at amazon shopping is sad #coronavirus,Negative
can anyone help me my mum is 75 and vulnerable i m 50 miles away and i need to get her food and supplies and i cannot find any supermarket deliveries does this mean i am within the guidelines to goto her myself 19,Positive
"covic-19 is not gender neutral. ""amid the panic buying that is seeing supermarket shelves stripped of essential items, one thing is clear: stockpiling is not an option for the economically vulnerable."" @amyvhaddad  #covid19 #covidaus #stockpiling",Negative
"have you washed your hands today?

#staysave #covid_19 #coronavirus #wednesdaymotivation #wednesdaythoughts #sanitizer",Neutral
"@biogensa staying home, no social gatherings, shopping online, sanitizer!!! washing hands and cleaning surfaces! staying healthy and eating healthy at home #coronavirus #covid-19 @biogensa",Positive
"#oil prices clawed back some losses after collapsing to $30 a barrel, as the market is getting supported by the physical bargain hunters and short covering.

read full report here:


#oilprice #usousd #usoil #crudeoil #forex #covid2019 #coronavirusoutbreak",Negative
"as #covid_19 spreads globally its fascinating to see how different nations are responding to consumer needs.

amy gavin from the @11fs research team lays it out ???",Positive
"from @spgmarketintel: crude prices, oil and gas indexes tank at unprecedented pace, as efforts to mitigate the #coronavirus #covid19 pandemic grind global commerce into low gear:",Extremely Negative
"@cpcybd @rachakondacop sir please reply on this action on what cm sir said on press meet at pragati bhawan to implement pd act on those vendors.
and save public and middle class families on this issue of hike prices# @telangana covid 19 @lockdowncovid19",Extremely Positive
"lock down a #poem by polly robertson age 10 my little girls take on this crazy situation #coronavirus :

locked indoors 
out of stock is food
covid-19
kites are never used

doing nothing 
out in the garden we only go
when were indoors were normal
nothing to do",Negative
panic buying forces south african supermarkets to ration food #coronavirus #covid19tr #bbb20 #tbt,Negative
there are no food available for our #nhsstaff stop panic buying. the #nhsheroes are working hours you could not fathom. stop being violent &; spitting at them as reported on bbc by a nurse. #coronavirusupdate #covid_19 #staysafestayhome,Extremely Negative
@jamesrparkinson good point re wiping down or spraying (&gt;60% alcohol) items brought in fr outside esp where likely they've been handled by  others - cdc in usa now shifting towards mask wearing #coronavirus as routine &; we've been doing this for we,Extremely Positive
"#newsalert ""thanks to #coronavirus, a new dawn of supermarket logistics is at hand. old rivals are going to have to (...) kickstart a new system that involves working together to keep the country fed."" reports @wireduk

#logistics #supplychain #covid19",Extremely Positive
me @ the grocery store looking @ the lady next to me not giving me my space ?? #coronavirus,Negative
11 month old has opened a pop up shop. prices on application. only serious offers please #coronavirus,Positive
food restrictions may cut down on obesity. or stock piliing may actually increase it ? #coronavirus #covid19,Positive
how can companies minimise covid-19s effect on their marketing traffic? brands need to be agile in these times of crisis as events like these are changing consumer behaviour,Negative
"""stimulating the economy is the wrong prescription. to combat the spread of covid-19, we need a period of less business activity and less consumer demand.""",Negative
"with the spread of covid-19 in the u.s., reports of shortages of products are occurring across the country. here's a look inside a grocery store in chicago from premise's contributor network. learn more:",Negative
never thought i d see the day that i start shopping online for groceries using store pickup so i could avoid entering what is now germ central station i just don t want to touch a card terminal ever again,Negative
